site,ind,mtemp,L1,deltaL_obs,deltaT
LCR_res,183,-0.716539953,13.8,5.4,1.073972603
LCR_res,184,-0.071375405,17.2,0.3,0.068493151
LCR_res,184,1.222957932,17.5,2.1,0.37260274
LCR_res,184,-0.24425326,19.6,0.2,0.076712329
LCR_res,184,-0.330582594,19.8,0.1,0.005479452
LCR_res,184,-0.752536392,19.9,3.4,0.994520548
LCR_res,185,-0.733994577,19.4,9.8,3.591780822
LCR_res,186,-0.238740259,19.7,-1,0.079452055
LCR_res,187,-0.248869024,28,-0.5,0.071232877
LCR_res,188,1.022005573,28,1.6,0.44109589
LCR_res,188,-0.651267319,29.6,7.9,4.583561644
LCR_res,188,-0.404202545,37.5,0.2,1.093150685
LCR_res,188,-0.47350279,37.7,0.4,1.912328767
LCR_res,189,-1.890202649,23.6,1.8,0.657534247
LCR_res,190,0.22650033,13.3,-0.2,0.005479452
LCR_res,190,-0.280236111,13.1,0.2,0.071232877
LCR_res,191,0.994127754,11.2,6.4,0.449315068
LCR_res,192,1.226552855,16.3,2.4,0.361643836
LCR_res,193,-0.719606454,15.6,9.1,3.652054795
LCR_res,194,1.224360701,11.7,3.3,0.364383562
LCR_res,194,-0.277738413,15,0,0.073972603
LCR_res,194,-0.823215404,15,4.5,0.920547945
LCR_res,194,0.090804981,19.5,0.2,0.076712329
LCR_res,195,1.220221237,16.5,1.7,0.37260274
LCR_res,195,-0.791090532,18.2,2.4,0.989041096
LCR_res,196,-0.777866205,16.4,5.4,0.997260274
LCR_res,196,-1.479508261,21.8,0.5,0.632876712
LCR_res,197,-0.281253077,16.1,-0.1,0.079452055
LCR_res,197,-2.146295747,16,1.8,0.569863014
LCR_res,198,1.007725378,16.1,1.5,0.446575342
LCR_res,199,-0.782629125,16.5,5.2,0.994520548
LCR_res,199,-1.276471671,21.7,1.3,0.715068493
LCR_res,199,-0.442093784,23,8,2.871232877
LCR_res,199,-0.152717324,31,0.2,0.082191781
LCR_res,199,-0.419310194,31.2,0.4,1.016438356
LCR_res,199,-0.36788639,31.6,3.2,2.989041096
LCR_res,199,-0.701119501,34.8,0.7,0.980821918
LCR_res,200,-0.277738413,15.6,-0.2,0.073972603
LCR_res,201,1.222912149,12.7,3.5,0.367123288
LCR_res,201,-0.277738413,16.2,-0.1,0.073972603
LCR_res,201,-1.967070879,16.1,2.2,0.616438356
LCR_res,202,-1.900872244,21.2,0.8,0.654794521
LCR_res,203,0.983978848,16.3,-0.3,0.005479452
LCR_res,203,1.226552855,16,0.9,0.361643836
LCR_res,203,-0.270832103,16.9,0.3,0.076712329
LCR_res,204,1.01983232,23.5,0.8,0.443835616
LCR_res,204,-0.270832103,24.3,0.4,0.076712329
LCR_res,204,-2.138791042,24.7,-0.5,0.57260274
LCR_res,204,1.345476994,24.2,1.2,0.350684932
LCR_res,204,-1.307745392,25.4,0.6,0.704109589
LCR_res,204,0.595271229,26,0,0.005479452
LCR_res,204,-0.519550703,26,0.7,0.876712329
LCR_res,204,0.890743096,26.7,0,0.002739726
LCR_res,204,0.587641402,26.7,-0.1,0.082191781
LCR_res,204,1.518978951,26.6,1.8,0.320547945
LCR_res,204,0.335643948,28.4,0.1,0.079452055
LCR_res,205,-0.277738413,23.7,0.4,0.073972603
LCR_res,205,-0.823215404,24.1,0.2,0.920547945
LCR_res,206,-0.024867062,22.5,1,0.087671233
LCR_res,206,1.224360701,23.5,2.3,0.364383562
LCR_res,206,-0.285218814,25.8,0.1,0.068493151
LCR_res,206,-2.110677419,25.9,0.6,0.580821918
LCR_res,206,0.664707871,26.5,0.1,0.060273973
LCR_res,206,1.498601217,26.6,2.4,0.284931507
LCR_res,206,0.87064572,29,0.2,0.005479452
LCR_res,206,0.030863633,29.2,0,0.071232877
LCR_res,207,1.226552855,22.7,-0.5,0.361643836
LCR_res,208,1.218920868,12.4,4.3,0.375342466
LCR_res,209,-0.270832103,21.1,0,0.076712329
LCR_res,209,-1.887826709,21.1,1.2,0.630136986
LCR_res,209,1.236156053,22.3,2.5,0.353424658
LCR_res,209,-1.430410889,24.8,0.2,0.643835616
LCR_res,210,-0.270832103,21.3,0,0.076712329
LCR_res,211,1.224360701,21.1,2.9,0.364383562
LCR_res,211,-0.211054285,24,0,0.002739726
LCR_res,212,1.218920868,18.8,1.7,0.375342466
LCR_res,212,-0.277738413,20.5,0,0.073972603
LCR_res,213,-1.928695213,15,3.5,0.646575342
